City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Castro,BR,73.72,scattered clouds,-24.7911,-50.0119,Hotel Central Palace
3,Sao Miguel Do Araguaia,BR,77.9,overcast clouds,-13.275,-50.1628,Hotel São Miguel
4,Rikitea,PF,77.77,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
6,Broken Hill,AU,87.21,few clouds,-31.95,141.4333,Ibis Styles
11,Porto Velho,BR,78.85,heavy intensity rain,-8.7619,-63.9039,Hotel Slaviero Essential Porto Velho
13,Inhambane,MZ,75.13,light rain,-23.865,35.3833,Hotel de Inhambane
14,Cape Town,ZA,74.37,clear sky,-33.9258,18.4232,Townhouse Hotel
16,Hambantota,LK,72.57,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
24,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
27,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti International Resort
28,Yeppoon,AU,71.38,few clouds,-23.1333,150.7333,Blossom's on Seaspray
31,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le Baril
32,Kapaa,US,79.12,clear sky,22.0752,-159.319,Pono Kai Resort
34,Hobart,AU,72.27,clear sky,-42.8794,147.3294,Vibe Hotel Hobart
40,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
45,Hithadhoo,MV,80.74,few clouds,-0.6,73.0833,Pebbles Inn
47,Pisco,PE,75.25,clear sky,-13.7,-76.2167,La Portada
51,Catia La Mar,VE,78.12,few clouds,10.6038,-67.0303,Posada La Parada
53,Mareeba,AU,73.44,overcast clouds,-17.0,145.4333,The Gateway Hotel
58,Bathsheba,BB,75.81,shower rain,13.2167,-59.5167,Atlantis Hotel
62,Port Elizabeth,ZA,70.11,clear sky,-33.918,25.5701,Waterford Hotel
66,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
70,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Page 63 hostel
71,Male,MV,80.55,few clouds,4.1748,73.5089,Champa Central Hotel
78,New Norfolk,AU,71.92,scattered clouds,-42.7826,147.0587,Woodbridge on the Derwent
80,Moron,AR,70.02,light rain,-34.6534,-58.6198,La Esquina
90,Hilo,US,79.25,clear sky,19.7297,-155.09,Dolphin Bay Hotel
102,San Juan Bautista,PE,85.01,overcast clouds,-14.0108,-75.7358,Hacienda San Juan Resort & Spa
106,Namibe,AO,74.01,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
108,Cabo San Lucas,MX,83.61,scattered clouds,22.8909,-109.9124,Comfort Rooms
109,Kawalu,ID,71.15,overcast clouds,-7.3817,108.2082,Hotel Surya
115,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Posada San Jose
116,Siloam Springs,US,70.65,clear sky,36.1881,-94.5405,Crown Hotel
119,Bengkulu,ID,73.69,moderate rain,-3.8004,102.2655,Dena Hotel
121,Kavieng,PG,82.42,overcast clouds,-2.5744,150.7967,Kavieng Hotel
126,Coquimbo,CL,71.33,clear sky,-29.9533,-71.3436,Hotel Iberia
131,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
137,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
138,Luganville,VU,79.68,overcast clouds,-15.5333,167.1667,Beachfront Resort
140,Kahului,US,79.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
142,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Hotel SkylineInn
149,Chuy,UY,79.99,broken clouds,-33.6971,-53.4616,Alerces
151,Sao Felix Do Xingu,BR,81.57,broken clouds,-6.6447,-51.995,Hotel Terraço
153,Atuona,PF,78.12,light rain,-9.8,-139.0333,Pearl Resort
155,Kupang,ID,80.31,overcast clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
156,Sao Filipe,CV,74.59,overcast clouds,14.8961,-24.4956,Bela Vista
160,Puttur,IN,75.31,broken clouds,12.7667,75.2167,Forum Comfort (lodge)
161,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Terra Sur
162,Meulaboh,ID,74.14,broken clouds,4.1363,96.1285,Hotel Meuligou
169,Port Moresby,PG,74.62,few clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
177,Eyl,SO,76.87,broken clouds,7.9803,49.8164,فندق ايل دابي
178,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Grand Bel Air
181,Daru,PG,78.6,overcast clouds,-9.0763,143.2092,Kuki
182,Salalah,OM,77.09,clear sky,17.0151,54.0924,Muscat International Hotel
190,Bata,GQ,80.74,broken clouds,1.8639,9.7658,Hotel Plaza ****
192,Namatanai,PG,80.92,overcast clouds,-3.6667,152.4333,Namatanai Hotel
194,Cidreira,BR,75.43,clear sky,-30.1811,-50.2056,Hotel Castelo
204,Aden,YE,78.13,clear sky,12.7794,45.0367,فندق قصر الجزيرة
206,Dillon,US,70.88,scattered clouds,34.4166,-79.3712,Quality Inn
213,Caravelas,BR,77.2,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
217,Junin,AR,75.6,broken clouds,-34.5838,-60.9433,Central Hotel
218,Monte Patria,CL,81.28,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
221,Faanui,PF,80.91,overcast clouds,-16.4833,-151.75,Oa Oa Lodge
224,Padang,ID,75.22,overcast clouds,-0.9492,100.3543,losmen Surya
237,Bajil,YE,78.4,overcast clouds,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
238,Berbera,SO,77.97,broken clouds,10.4396,45.0143,Al Madina Hotel
247,Ambilobe,MG,74.75,overcast clouds,-13.2,49.05,Hôtel National
271,Tonantins,BR,73.92,overcast clouds,-2.8731,-67.8022,Red Davi
272,Rawson,AR,75.43,clear sky,-43.3002,-65.1023,Hotel Deportivo
274,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Central Hôtel
277,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,Hotel valencia
279,Morant Bay,JM,86.7,few clouds,17.8815,-76.4093,Morant Villas
282,Kang,BW,75.58,scattered clouds,-23.6752,22.7876,Nkisi Guest House
284,Touros,BR,79.95,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
292,Ho Chi Minh City,VN,73.42,scattered clouds,10.75,106.6667,Khách Sạn Hoàng Nam
294,Tete,MZ,73.31,clear sky,-16.1564,33.5867,Zambezi Hotel
295,Atar,MR,75.42,clear sky,20.5169,-13.0499,فندق سكليل
299,Ardmore,US,78.58,clear sky,34.1743,-97.1436,Best Western Plus
303,Karratha,AU,81.37,overcast clouds,-20.7377,116.8463,Karratha International Hotel
314,Manokwari,ID,77.4,overcast clouds,-0.8667,134.0833,Hotel Arfak
319,Voh,NC,77.74,broken clouds,-20.9667,164.7,Le Vook
320,Vanimo,PG,76.89,scattered clouds,-2.6741,141.3028,CBC Guesthouse
323,Emerald,AU,71.35,clear sky,-23.5333,148.1667,Emerald Central Hotel
324,Atambua,ID,73.51,light rain,-9.1061,124.8925,Hotel Matahari
336,Villa Carlos Paz,AR,78.39,scattered clouds,-31.4241,-64.4978,Hoterl Victor
343,Takoradi,GH,79.32,clear sky,4.8845,-1.7554,Hillcrest
344,Saldanha,ZA,71.65,clear sky,-33.0117,17.9442,Hoedjesbaai
345,Texarkana,US,75.24,overcast clouds,33.4251,-94.0477,Scottish Inns & Suites
348,Guanica,PR,82.06,scattered clouds,17.9716,-66.908,Copamarina Beach Resort
349,Arlington,US,79.41,overcast clouds,32.7357,-97.1081,Parkway Inn
350,Miri,MY,80.74,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
357,Carmen,MX,81.54,overcast clouds,18.6333,-91.8333,Holiday Inn Express
388,Paraiso,CR,72.95,broken clouds,9.8383,-83.8656,Cabinas
389,Vila Velha,BR,78.75,light rain,-20.3297,-40.2925,Hotel Prainha
390,Saint-Pierre,RE,76.68,light rain,-21.3393,55.4781,Tropic Hotel
398,Hindang,PH,75.07,overcast clouds,10.4342,124.7292,Tessla Beach Resort
400,Tevaitoa,PF,80.89,few clouds,-16.7833,-151.5,Chambre d'hote
406,Daloa,CI,73.69,clear sky,6.8774,-6.4502,Hôtel Matin Pêcheur
407,Quatre Cocos,MU,75.09,few clouds,-20.2078,57.7625,Horisun
409,Torres,BR,83.82,clear sky,-29.3353,-49.7269,Residencial Medusa
415,Villa Rica,US,70.39,clear sky,33.7321,-84.9191,Comfort Inn & Suites
426,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Aurora Alice Springs
433,Magdiwang,PH,78.19,overcast clouds,12.491,122.5135,Nature Lodge & Restaurant
444,Makakilo City,US,77.61,overcast clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
445,Bubaque,GW,78.85,broken clouds,11.2833,-15.8333,Chez Julio
447,Sur,OM,73.06,scattered clouds,22.5667,59.5289,Sur Hotel
459,Mabaruma,GY,73.17,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
461,Saint-Leu,RE,76.06,light rain,-21.15,55.2833,Iloha Seaview Hôtel
467,Sri Aman,MY,71.91,overcast clouds,1.2376,111.4621,Mega Inn
468,Ambulu,ID,74.86,overcast clouds,-8.345,113.6058,Hotel Ambulu
478,Yulara,AU,83.57,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
479,Acapulco,MX,83.71,broken clouds,16.8634,-99.8901,Hotel del Valle
481,Lamar,US,75.97,overcast clouds,33.6668,-95.5836,Days Inn by Wyndham Paris
496,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
500,Villanueva,HN,86.99,few clouds,15.3167,-88.0,Hotel Leiva
501,Viedma,AR,72.95,overcast clouds,-40.8135,-62.9967,Níjar
506,Progreso,MX,89.11,scattered clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
513,Tual,ID,82.85,overcast clouds,-5.6667,132.75,Suita
514,Pombas,CV,71.38,overcast clouds,17.1503,-25.0201,Aldeia Jerome
517,Antalaha,MG,73.58,broken clouds,-14.9003,50.2788,Hôtel Florida
518,Sibolga,ID,74.44,overcast clouds,1.7427,98.7792,Hotel Prima Indah
522,Phenix City,US,75.27,clear sky,32.471,-85.0008,Courtyard
528,Betioky,MG,75.4,clear sky,-23.7167,44.3833,Hotel Salema
529,Kokopo,PG,78.33,overcast clouds,-4.352,152.2633,Hotel Kokopo
530,Podor,MR,82.63,clear sky,16.6527,-14.9587,La Cour du Fleuve
533,Salinopolis,BR,80.24,broken clouds,-0.6136,-47.3561,Hotel Salinópolis
536,Cape Coast,GH,79.05,clear sky,5.1053,-1.2466,Mighty Victory Hotel
538,Port Blair,IN,76.77,broken clouds,11.6667,92.75,Andaman Ocean Breeze
541,Mamallapuram,IN,77.05,clear sky,12.6264,80.1722,Radisson Temple Bay
546,Jardim,BR,86.95,overcast clouds,-21.4803,-56.1381,Hotel Uchôa
547,Santa Rosa,PH,76.1,broken clouds,14.3122,121.1114,JARS RESORT
551,Tagusao,PH,77.68,moderate rain,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
555,Porto Seguro,BR,79.32,broken clouds,-16.4497,-39.0647,Terra Mater Hotel
556,Cootamundra,AU,72.95,clear sky,-34.65,148.0333,Globe Hotel
557,Cockburn Town,TC,78.1,clear sky,21.4612,-71.1419,The Salt Raker Inn
560,Mananara,MG,75.42,overcast clouds,-16.1667,49.7667,Chez Roger
563,Bintulu,MY,74.91,light rain,3.1667,113.0333,Bakun Inn
564,Maua,BR,76.35,scattered clouds,-23.6678,-46.4614,Go Inn Santo André
575,Celestun,MX,83.12,broken clouds,20.8667,-90.4,Hotel Flamingo Playa
585,Lagunas,PE,84.25,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
586,Koumac,NC,78.57,scattered clouds,-20.5667,164.2833,Monitel Koumac
589,Mongoumba,CF,80.38,overcast clouds,3.6415,18.5936,Hôtel Wilo et Frères
590,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
606,Jacobina,BR,76.68,overcast clouds,-11.1806,-40.5183,Hotel Jovem Jota
608,Wajir,KE,81.16,light rain,1.7471,40.0573,Kilimanjaro
618,Miandrivazo,MG,74.48,light rain,-19.5167,45.4667,Baobab
619,Gorontalo,ID,75.11,overcast clouds,0.5412,123.0595,Grand City Hotel
620,Rocha,UY,85.14,overcast clouds,-34.4833,-54.3333,Hotel Municipal
622,Sakaraha,MG,74.14,clear sky,-22.9,44.5333,Palace Club
625,Kiama,AU,72.57,scattered clouds,-34.6833,150.8667,Nova Kiama
632,Jalapa,MX,71.26,light rain,19.5333,-96.9167,Casa de Juan
635,Navirai,BR,76.15,overcast clouds,-23.065,-54.1906,Hotel 2 Gaúchos
636,Ampanihy,MG,73.72,overcast clouds,-24.7,44.75,Hotel restaurant Angora
638,Las Lomas,PA,81.81,light rain,8.4333,-82.4,Residencial Avenida Hospedaje
642,Huarmey,PE,74.86,broken clouds,-10.0681,-78.1522,Hostal Santa Rosa
649,Carrollton,US,79.54,broken clouds,32.9537,-96.8903,Days Inn North Dallas/Farmers Branch
650,Guarapari,BR,77.9,moderate rain,-20.6667,-40.4975,Osmar Hotel
651,Lorengau,PG,81.19,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
652,Opelika,US,71.85,clear sky,32.6454,-85.3783,Comfort Inn Opelika - Auburn
655,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,Khách sạn Thái Bình
656,Grenfell,AU,71.46,clear sky,-33.9,148.1667,Albion Hotel
666,Gold Coast,AU,75.0,broken clouds,-28.0,153.4333,The Sands Apartments
683,Wahiawa,US,77.32,few clouds,21.5028,-158.0236,The Inn At Schofield
684,Dabakala,CI,77.63,few clouds,8.3667,-4.4333,Hôtel Résidence les villages
688,Rio Grande,BR,87.91,scattered clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
689,La Plata,AR,70.03,light rain,-34.9215,-57.9545,Hotel Catedral
